DENSITY	LENGTH_OF_SEQ	SUBPEAK_LENGTH
0.23949246629659	302	1261
0.330404217926186	376	1138
0.24954954954955	277	1110
0.196461256863941	322	1639
0.244047619047619	287	1176
0.337996642417459	604	1787
0.226941747572816	187	824
0.288479262672811	313	1085
0.371127224785761	563	1517
0.357843137254902	438	1224
0.346418056918548	353	1019
0.237974683544304	188	790
0.283582089552239	323	1139
0.355694227769111	456	1282
0.376904176904177	767	2035
0.330508474576271	195	590
0.304437564499484	295	969
0.256502242152466	286	1115
0.211874272409779	182	859
0.148641722193747	290	1951
0.335930735930736	388	1155
0.187344913151365	151	806
0.259382819015847	311	1199
0.208381839348079	358	1718
0.191446028513238	188	982
0.316631130063966	594	1876
0.187861271676301	130	692
0.255840241145441	679	2654
0.194285714285714	272	1400
0.367320261437909	281	765
0.230427046263345	518	2248
0.338775510204082	332	980
0.387660069848661	333	859
0.268248175182482	882	3288
0.153347732181425	142	926
0.143932683790965	325	2258
0.377596439169139	509	1348
0.179566563467492	232	1292
0.216739537788882	347	1601
0.31431334622824	650	2068
0.212765957446809	330	1551
0.254881266490765	483	1895
0.280739934711643	258	919
0.220948012232416	289	1308
0.366251198465964	382	1043
0.221527382982755	1169	5277
0.257518796992481	411	1596
0.33106960950764	390	1178
0.274975751697381	567	2062
0.250235183443086	266	1063
0.0829545454545455	73	880
0.302530900529723	1028	3398
0.282576866764275	386	1366
0.266705069124424	463	1736
0.080411407199626	172	2139
0.368918918918919	273	740
0.357634112792297	260	727
0.274952919020716	292	1062
0.223482321547698	335	1499
0.31505016722408	471	1495
0.370036101083032	410	1108
0.256077795786062	158	617
0.210070810385523	267	1271
0.32814584259671	738	2249
0.440881763527054	220	499
0.407467532467532	502	1232
0.311841289522629	503	1613
0.0926773455377574	81	874
0.232981783317354	243	1043
0.137554585152838	126	916
0.450053705692803	419	931
0.237569060773481	258	1086
0.241398446170921	435	1802
0.428571428571429	492	1148
0.317715959004392	217	683
0.316417910447761	212	670
0.0744810744810745	61	819
0.308550185873606	249	807
0.227873855544252	224	983
0.316091954022989	385	1218
0.373660030627871	244	653
0.272253408179631	679	2494
0.376127320954907	709	1885
0.321428571428571	216	672
0.295788442703232	302	1021
0.178539224526601	396	2218
0.0901678657074341	188	2085
0.211045364891519	214	1014
0.011727078891258	11	938
0.326573722010984	773	2367
0.323255813953488	417	1290
0.281432748538012	385	1368
0.0914798206278027	102	1115
0.288804071246819	454	1572
0.199748348537276	635	3179
0.21795989537925	250	1147
0.372377622377622	213	572
0.216836734693878	170	784
0.109422492401216	180	1645
0.0811277330264672	141	1738
0.332772166105499	593	1782
0.290322580645161	189	651
0.37753036437247	373	988
0.227018385291767	284	1251
0.342794759825328	471	1374
0.331707317073171	272	820
0.204863973619126	497	2426
0.310595065312046	214	689
0	0	855
0.253584229390681	283	1116
0.16973293768546	286	1685
0.451086956521739	415	920
0.245771144278607	247	1005
0.355985037406484	571	1604
0.179487179487179	210	1170
0	0	967
0.252173913043478	232	920
0.20011911852293	336	1679
0.387149917627677	470	1214
0.405114401076716	602	1486
0.00755287009063444	10	1324
0.256983240223464	322	1253
0.383078730904818	652	1702
0.232655921513665	332	1427
0.289281997918835	278	961
0.0499457111834962	46	921
0.176226101413134	212	1203
0.288824383164006	199	689
0.257619738751814	355	1378
0.325056433408578	432	1329
0.491498405951116	925	1882
0.265035677879715	260	981
0.297989949748744	593	1990
0.179186228482003	229	1278
0.289067739771965	431	1491
0.267494356659142	237	886
0.142711518858308	140	981
0.225697379543533	801	3549
0.346801346801347	515	1485
0.340277777777778	196	576
0.277536860364267	320	1153
0.256136606189968	240	937
0.215132693393563	381	1771
0.258484162895928	457	1768
0.392029657089898	423	1079
0.238030095759234	348	1462
0.0390753990093561	71	1817
0.290980392156863	371	1275
0.240710823909531	149	619
0.245923913043478	543	2208
0.321254732287723	594	1849
0.295918367346939	377	1274
0.252936570086139	323	1277
0.434237995824635	416	958
0.231555880204529	317	1369
0.0874172185430464	66	755
0	0	765
0.234131736526946	391	1670
0.347470238095238	467	1344
0.318661971830986	543	1704
0.311220311220311	760	2442
0.101026045777427	128	1267
0.26270733012306	491	1869
0.351373855120733	422	1201
0.223340040241449	333	1491
0.300817757009346	515	1712
0.287780548628429	577	2005
0.370317002881844	257	694
0.253157605711148	461	1821
0.276842105263158	263	950
0.274377942165434	408	1487
0.233744394618834	417	1784
0.207708779443255	194	934
0.216647662485747	190	877
0.341194968553459	217	636
