H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Acot9	6906.4	10057.77	11753.68	4803.61	9419.35	0.54	-0.52	-1.07
Acox1	11702.17	13510.75	14110.96	12860.04	10645.73	0.21	0.14	-0.07
Acox3	26160.48	13242.89	13696.43	35509.3	23642	-0.98	0.44	1.42
Acp1	1981.52	3826.28	4161.85	2210.89	2049.65	0.95	0.16	-0.79
Acp2	6469.14	7992.64	7164.44	6191.66	6841.25	0.31	-0.06	-0.37
Acp5	8136.72	10912.32	11060.81	9589.88	8278.49	0.42	0.24	-0.19
Acp6	1943.01	2691.98	2920.88	1637.29	1615.52	0.47	-0.25	-0.72
Acsf2	3790.62	4706.76	4893.9	4497.22	3504.75	0.31	0.25	-0.07
Acsl4	9341.7	14597.5	16370.45	7130.82	21714.17	0.64	-0.39	-1.03
Acsl5	15720.67	18898.16	24534.54	13737.1	12307.08	0.27	-0.19	-0.46
Acss2	5661.63	10690.01	11539.21	7343.78	5627.51	0.92	0.38	-0.54
Acss3	747.73	715.95	1069.99	1225.71	2084.38	-0.06	0.71	0.78
Acta2	52114.71	30170.18	23682.31	38176.75	33021.14	-0.79	-0.45	0.34
Actb	58786.18	77802.7	73097.3	66613.96	45529.78	0.4	0.18	-0.22
Actbl2	5756.07	11254.11	13692.28	6480.06	11164.29	0.97	0.17	-0.8
Actg1	889.07	1076.13	1029.06	906.53	647.46	0.28	0.03	-0.25
Actl6a	3204.22	5222.91	6680.91	4158.44	2732.87	0.7	0.38	-0.33
Actn1	69783.15	113798.68	134191.2	83207.63	65476.91	0.71	0.25	-0.45
Actn4	79146.34	74470.65	64248.14	86145.24	48207.65	-0.09	0.12	0.21
Actr10	13489.69	14879.11	14960.53	16276.05	12751.39	0.14	0.27	0.13
Actr1a	26202.25	44484.12	46990.53	32561.79	30943.86	0.76	0.31	-0.45
Actr1b	3276.26	5698.8	6395.05	3662.31	2730.48	0.8	0.16	-0.64
Actr2	12016.43	19868.51	21070.41	15879.03	13000.29	0.73	0.4	-0.32
Actr3	13671.12	14599.21	17349.7	11492.05	15785.82	0.09	-0.25	-0.35
Actr5	2239.83	3841.51	5196.38	3236.8	2457.86	0.78	0.53	-0.25
Actr6	3184.59	5404.05	6448.45	4346.58	8744.43	0.76	0.45	-0.31
Actr8	5528.37	7098.11	7255.27	5922.11	6243.45	0.36	0.1	-0.26
Actrt3	13177.28	5122.31	5277.2	6247.64	9673.32	-1.36	-1.08	0.29
Acvr1b	19773.73	25506.74	28871.7	19998.17	19469.6	0.37	0.02	-0.35
Acvr2a	4003.52	6507.23	7640.87	4185.9	3580.22	0.7	0.06	-0.64
Acvr2b	3802.67	7499.48	9328.85	6110.04	5553.26	0.98	0.68	-0.3
Acy1	11368.87	25552.9	26516.51	21432.02	18438.25	1.17	0.91	-0.25
Acy3	9558.76	12322.73	12151.62	10702.46	7035.55	0.37	0.16	-0.2
Acyp1	27147.44	19797.95	18524.38	33977.36	23328.35	-0.46	0.32	0.78
Acyp2	3731.49	4699.73	5362.25	4004.36	5813.01	0.33	0.1	-0.23
Ada	75412.72	42335.12	46165.17	78693.39	66473.46	-0.83	0.06	0.89
Adam10	4020.19	7616.27	8625.52	6399.45	4728.17	0.92	0.67	-0.25
Adam15	21660.29	35537.77	42383.06	27006.64	20534.65	0.71	0.32	-0.4
Adam17	12493.27	14922.18	13836.01	9105.65	11725.77	0.26	-0.46	-0.71
Adam19	39297.98	45973.21	45635.76	36252.17	37281.58	0.23	-0.12	-0.34
Adam23	417.65	1236.88	1812.24	611.09	1193.49	1.57	0.55	-1.02
Adam9	32891.2	31521.17	33724.27	31301.36	28047	-0.06	-0.07	-0.01
Adamts1	13165.43	16946.1	17913.08	14583.09	14051.92	0.36	0.15	-0.22
Adamts10	41648.21	15887.2	15684.61	40679.85	25163.97	-1.39	-0.03	1.36
Adamts12	111865.23	49218.13	42996.81	72400.71	99501.07	-1.18	-0.63	0.56
Adamts14	6142.81	8100.23	7639.7	8315.43	7678.7	0.4	0.44	0.04
Adamts15	14954.24	15005.71	14872.09	12325.65	14355.05	0	-0.28	-0.28
Adamts2	17831.28	20632.72	24505.67	19932.66	14098.66	0.21	0.16	-0.05
Adamts3	1293.97	4023.56	6532.37	1801.77	1509.22	1.64	0.48	-1.16
Adamts4	9191.42	8873.57	7546.2	11537.15	11882.84	-0.05	0.33	0.38
Adamts5	14728.13	6189.91	6982.83	10154.4	11197.09	-1.25	-0.54	0.71
Adamts9	7455.18	6951.02	7286.33	7513.35	4715.46	-0.1	0.01	0.11
Adamtsl3	2202.06	3905.53	3639.58	2837.07	1247.09	0.83	0.37	-0.46
Adamtsl4	51715.37	44480.56	51607.15	58415.5	61288.19	-0.22	0.18	0.39
Adamtsl5	14031.58	21440.94	25907.4	19003.64	11558.39	0.61	0.44	-0.17
Adar	6132.07	8670.51	9544.86	5724.44	6068.22	0.5	-0.1	-0.6
Adarb1	45118.91	26791.81	32517.25	34768.41	20619.3	-0.75	-0.38	0.38
Adat1	8371.03	8141.6	10514.43	10807.38	12275.34	-0.04	0.37	0.41
Adat2	3379.01	4820.01	7591.55	2823.22	5392.76	0.51	-0.26	-0.77
Adck1	3924.79	10520.23	12602.05	5373.22	5657.87	1.42	0.45	-0.97
Adck2	5073.74	7906.59	8338.27	6948.26	6937.17	0.64	0.45	-0.19
Adck3	3569.96	2556.7	2538.68	5358.56	3636.01	-0.48	0.59	1.07
Adck4	14214.17	23891.4	27024.53	20846.57	15187.72	0.75	0.55	-0.2
Adck5	5822.24	16477.21	17058.1	7989.56	10439.84	1.5	0.46	-1.04
Adcy3	7714.51	9173.29	9984.58	9706.2	7576.65	0.25	0.33	0.08
Adcy4	23022.23	33236.04	40606.42	34376.93	33434.23	0.53	0.58	0.05
Adcy5	4443.23	3378.7	4658.41	5484.9	1428.64	-0.4	0.3	0.7
Adcy6	14325.21	17102.58	21531.07	19007.77	15157.24	0.26	0.41	0.15
Add1	25842.36	29322.79	29236.61	28968.75	24110.54	0.18	0.16	-0.02
Add3	4241.13	3948.53	4425.28	6673.12	4456.52	-0.1	0.65	0.76
Adgre5	13309.2	17820.78	21095.13	15373.4	13248.96	0.42	0.21	-0.21
Adgrl1	4078.62	6744.77	8081.92	5779.78	2198.87	0.73	0.5	-0.22
Adh1	13263.62	9232.36	7293.48	10723.54	12696.46	-0.52	-0.31	0.22
Adh5	3879.9	4753.89	4056.27	3722.46	2882.32	0.29	-0.06	-0.35
Adh7	9649.58	7078.01	5983.04	8900.26	10970.98	-0.45	-0.12	0.33
Adhfe1	3942.02	3644.8	3000.07	4424.91	2970.7	-0.11	0.17	0.28
Adi1	2326.81	2992.16	2823.46	3164.97	2441.12	0.36	0.44	0.08
Adipor1	10254.24	14003.96	14079.97	11181.31	7442.47	0.45	0.12	-0.32
