H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Ncoa4	8861.6	10981.98	10694.83	9195.43	8136.7	0.31	0.05	-0.26
Ncoa5	3047.1	5861.3	7153.59	3456.26	2111.82	0.94	0.18	-0.76
Ncor1	13972.53	18321.51	19044.14	13713.58	16486.95	0.39	-0.03	-0.42
Ncor2	42557.97	68290.66	77600.02	62379.81	47020.05	0.68	0.55	-0.13
Ncs1	12790.92	21818.23	33465.92	19302.91	12416.53	0.77	0.59	-0.18
Ncstn	5845.94	6955.27	7366.96	4731.35	5142.05	0.25	-0.31	-0.56
Ndc1	5236.6	7285.57	7738.59	5028.53	3844.57	0.48	-0.06	-0.53
Ndel1	29128.27	33740.8	33249.31	28208.83	30828.81	0.21	-0.05	-0.26
Ndfip1	9980.83	14499.95	17504.05	15789.38	19775.18	0.54	0.66	0.12
Ndfip2	2634.31	5980.38	6452.22	3220.9	3106.87	1.18	0.29	-0.89
Ndnl2	1463.8	2528.54	2969.81	1732.28	1168.28	0.79	0.24	-0.55
Ndor1	8627.97	10577.16	10682.8	12904.84	8477.02	0.29	0.58	0.29
Ndrg1	7540.71	5029.95	6162.38	7128.33	4850.4	-0.58	-0.08	0.5
Ndrg2	3749.29	6318.13	7501.54	5648.45	3555.64	0.75	0.59	-0.16
Ndrg3	2391.97	2485.43	3407.61	2393.51	1885.42	0.06	0	-0.05
Ndrg4	1674.58	3304.13	4700.03	2435.36	1467.41	0.98	0.54	-0.44
Ndst1	100490.3	97073.75	103722.44	102651.39	95341.89	-0.05	0.03	0.08
Ndufa10	3463.56	5015.03	5451.95	3245.07	3014.63	0.53	-0.09	-0.63
Ndufa10l1	63.68	248.07	219.41	77.91	68.59	1.96	0.29	-1.67
Ndufa11	9193.92	12800.32	14802.02	11434.2	9384.23	0.48	0.31	-0.16
Ndufa12	2607.55	6144.61	7704.81	2543.21	3619.67	1.24	-0.04	-1.27
Ndufa2	25751.34	22433.53	21344.18	30131.64	33045.18	-0.2	0.23	0.43
Ndufa4	5721.46	5224.09	4917.55	4281.44	5631.74	-0.13	-0.42	-0.29
Ndufa5	11364.56	8363.89	9068.45	8398.26	8682.7	-0.44	-0.44	0.01
Ndufa6	6934.97	7883.72	8370.05	6791.18	5377.75	0.18	-0.03	-0.22
Ndufa7	10541.09	11967.83	12960.8	11124.54	11963.03	0.18	0.08	-0.11
Ndufa8	83.63	24.57	24.54	59.76	94.48	-1.77	-0.48	1.28
Ndufa9	1919.06	2920.06	3655.05	2030.52	2193.67	0.61	0.08	-0.52
Ndufab1	3047.84	4853.23	5716.95	3031.76	3206.93	0.67	-0.01	-0.68
Ndufaf1	2238.27	2305.43	3109.81	1837.11	2211.66	0.04	-0.28	-0.33
Ndufaf3	10942.45	16843.82	19007.71	15484.86	12251.03	0.62	0.5	-0.12
Ndufaf4	1991.48	3115.61	2760.36	1177.62	2107.05	0.65	-0.76	-1.4
Ndufaf5	3261.76	4608.61	4577.82	2481.24	2907.41	0.5	-0.39	-0.89
Ndufaf6	4712.93	5176.37	5656.18	5101.29	3342.48	0.14	0.11	-0.02
Ndufaf7	6247.34	7903.37	9071.07	6688.26	5828.49	0.34	0.1	-0.24
Ndufb10	3499.78	4544.71	4179.48	4084.4	3179.47	0.38	0.22	-0.15
Ndufb11	5291.82	8167.52	9438.69	4943.17	4104.6	0.63	-0.1	-0.72
Ndufb2	6878.34	9773.09	10362.87	7938.46	7972.77	0.51	0.21	-0.3
Ndufb3	3240.08	3931.87	4930.27	2956.19	2744.59	0.28	-0.13	-0.41
Ndufb4	13020.1	16565.95	17760.63	14819.48	18733.66	0.35	0.19	-0.16
Ndufb5	3030.84	5650.59	6278.55	3421.62	3029.16	0.9	0.17	-0.72
Ndufb6	10152.03	9039.77	9903.36	10328.21	10199.19	-0.17	0.02	0.19
Ndufb7	5623.97	6866.5	5902.52	7291.91	5995.02	0.29	0.37	0.09
Ndufb8	5058.76	6594.62	8704.65	5034.42	5625.75	0.38	-0.01	-0.39
Ndufb9	13670.65	13019.87	15514.59	10461.38	12238.34	-0.07	-0.39	-0.32
Ndufc2	6448.43	8058.81	9896.03	7834.75	6163.9	0.32	0.28	-0.04
Ndufs1	5454.33	8704.73	7599.8	4767.53	5033.91	0.67	-0.19	-0.87
Ndufs2	12582.19	13220.06	11313.53	13636.63	14801.53	0.07	0.12	0.04
Ndufs3	17878.33	18225.1	19193.05	13774.63	14059.35	0.03	-0.38	-0.4
Ndufs4	3321.39	6917.21	7968.95	3956.71	6819.9	1.06	0.25	-0.81
Ndufs5	2659.75	3275.43	3786.55	3095.78	2174.51	0.3	0.22	-0.08
Ndufs7	7768.28	10778.68	11362.37	11739.14	8136.32	0.47	0.6	0.12
Ndufs8	21226.37	20582.75	19219.82	29658.18	18357.4	-0.04	0.48	0.53
Ndufv1	22521.46	21862.97	19521.46	29234.12	22871.33	-0.04	0.38	0.42
Ndufv2	16419.12	19796	23423.98	15811.75	13850.65	0.27	-0.05	-0.32
Ndufv3	12864.18	14784.53	16274.55	16557.83	11164.34	0.2	0.36	0.16
Necap1	12703.76	13605.15	16952.98	13098.82	11556.05	0.1	0.04	-0.05
Necap2	3013.82	4707.72	5116.59	4124.7	2782.13	0.64	0.45	-0.19
Nedd1	1535.97	2443.1	3174.37	1709.76	1441.76	0.67	0.15	-0.51
Nedd4	37365.54	33285.36	35498.66	36016.34	33291.66	-0.17	-0.05	0.11
Nedd4l	17594.43	14714.96	19148.24	19176.34	18857.53	-0.26	0.12	0.38
Nedd8	17564.84	30612.63	35566.86	21590.22	25802.62	0.8	0.3	-0.5
Nedd9	65543.82	57432.21	51593.09	53581.41	47381.07	-0.19	-0.29	-0.1
Neil1	5609.26	5137.22	6404.47	5257.88	4475.85	-0.13	-0.09	0.03
Neil3	2381.76	1748.23	1949.08	1781.61	3200.49	-0.45	-0.42	0.03
Nek1	7155.93	4772.77	5117.31	5117.73	5808.51	-0.58	-0.48	0.1
Nek11	1104.6	1462.87	1521.18	1021.72	684.6	0.41	-0.11	-0.52
Nek2	8592.12	9059.11	8605.59	8143.44	6056.57	0.08	-0.08	-0.15
Nek4	2424.78	3206.46	3377.6	2992.9	2564.71	0.4	0.3	-0.1
Nek6	40723.96	53532.2	79601.51	50118.44	56202.12	0.39	0.3	-0.1
Nek8	12419.75	16762.79	15826.69	16542.53	10809.03	0.43	0.41	-0.02
Nek9	9012.2	10726.99	10882.12	9502.73	9149.49	0.25	0.08	-0.17
Nelfa	3867.12	5433.09	6067.48	3329.64	3728.81	0.49	-0.22	-0.71
Nelfb	20989.46	32130.07	31487.69	27288.5	20751.59	0.61	0.38	-0.24
Nelfcd	2666.31	2927.28	2528.92	3122.79	2452.61	0.13	0.23	0.09
Nelfe	4356.37	7643.94	7915.51	4706.81	4483.05	0.81	0.11	-0.7
Nemf	11933.33	13574.99	13479.82	10355.46	14874.79	0.19	-0.2	-0.39
Nemp2	3368.87	4237.29	4336.78	3254.15	3736.37	0.33	-0.05	-0.38
Nenf	4050.75	6853.78	7294.74	6618.05	4246.96	0.76	0.71	-0.05
Nes	11970.53	28637.67	35423.14	20979.56	22171.02	1.26	0.81	-0.45
Net1	13096.23	10916.02	10302.21	14215.32	15436.8	-0.26	0.12	0.38
Neu1	11306.74	13207.04	13310.69	10691.53	7829.75	0.22	-0.08	-0.3
Neu3	5054.94	3463.86	3544.85	4345.01	5041.39	-0.55	-0.22	0.33
Neurl1	8623.17	11560.16	16529.25	9620.15	8396.78	0.42	0.16	-0.27
Neurl1b	15550.95	16438.05	17834.58	18468.72	7813.62	0.08	0.25	0.17
Neurl2	28703.5	33817.36	39376.93	34785.09	26085.88	0.24	0.28	0.04
Neurl3	5402.21	10305.73	11342.45	8842.75	8199.56	0.93	0.71	-0.22
Neurl4	10963.5	15465.13	16597.79	11516.14	10575.14	0.5	0.07	-0.43
Nf1	7051.7	8386.43	10288.44	8327.76	7055.41	0.25	0.24	-0.01
Nf2	8879.72	10075.52	12774.83	8865.67	9582.13	0.18	0	-0.18
Nfat5	13304.17	12489.16	14421.29	10762.13	7722.61	-0.09	-0.31	-0.21
Nfatc1	2301.11	8873.74	13922.12	4774.44	2538.03	1.95	1.05	-0.89
Nfatc2ip	7399.95	6983.74	7094.88	6680.6	5236.65	-0.08	-0.15	-0.06
Nfatc3	7028.77	7971.6	6930.49	8654.58	6284.06	0.18	0.3	0.12
Nfatc4	26566.51	38362.64	46665.99	39384.7	35146.85	0.53	0.57	0.04
Nfe2l2	71734.97	62024.65	66785.07	77035.18	96159.99	-0.21	0.1	0.31
Nfia	79639.42	57554.18	54034.2	64804.94	120886.71	-0.47	-0.3	0.17
Nfib	12315.42	12727.33	15929.84	14174.12	16879.21	0.05	0.2	0.16
Nfic	50083.15	67191.81	88686.88	65845.42	41375.02	0.42	0.39	-0.03
Nfil3	16181.1	25826.43	28150.79	17743.93	21508.46	0.67	0.13	-0.54
Nfix	132904.53	116284.51	116778.45	176378.14	122281.84	-0.19	0.41	0.6
Nfkb1	14968.62	22610.25	26592.36	17937.73	24188.55	0.6	0.26	-0.33
Nfkb2	28558.27	55570.09	58895.49	39652.13	36999.65	0.96	0.47	-0.49
Nfkbia	15832.97	17322.21	19598.51	19161.36	17122.64	0.13	0.28	0.15
Nfkbib	22718.2	26900.99	24692.11	26299.04	17817.69	0.24	0.21	-0.03
Nfkbie	16612.33	27099.77	29750.21	24468.5	20269.96	0.71	0.56	-0.15
Nfkbil1	7761.01	11442.92	13557.48	9563.7	8103.8	0.56	0.3	-0.26
Nfkbiz	22196.11	25346.97	23439	21686.41	21426.48	0.19	-0.03	-0.23
Nfrkb	1630.47	2809.33	3199.13	2191.11	1530.46	0.78	0.43	-0.36
Nfu1	31091.03	16446.41	15271.81	31442.67	20884.69	-0.92	0.02	0.93
Nfx1	9250.51	14598.2	16739.96	8258.53	8853.73	0.66	-0.16	-0.82
Nfxl1	2806.32	4918.24	6516.35	2524.01	3418.46	0.81	-0.15	-0.96
Nfya	6480.55	9425.03	8864.74	7575.39	5197.33	0.54	0.23	-0.32
Nfyb	7632	9950.32	11120.14	11279.83	6802.66	0.38	0.56	0.18
Nfyc	5791.19	6341.16	6933.95	4702.68	5536.81	0.13	-0.3	-0.43
Ngdn	7320.54	11840.9	12912.64	10960.89	15615.27	0.69	0.58	-0.11
Ngef	1073.39	8510.46	13943.74	2361.54	3508.62	2.99	1.14	-1.85
Ngf	28751.12	31711.32	38825.95	30926.49	32326.77	0.14	0.11	-0.04
Ngly1	3322.6	4874.32	5604.51	4150.48	2668.91	0.55	0.32	-0.23
Ngrn	9121.31	11486.64	13112.03	10383.66	9333.98	0.33	0.19	-0.15
Nhej1	5403.88	5800.47	6870.73	6341.6	5805.09	0.1	0.23	0.13
Nhlrc1	5755.77	7285.71	9014.2	6223.98	5119.83	0.34	0.11	-0.23
Nhlrc2	12984.81	17713	20878.93	13662.15	13242.99	0.45	0.07	-0.37
Nhp2l1	5442.18	9181.39	11040.16	4783.61	4703.35	0.75	-0.19	-0.94
Nhs	5407.98	5838.21	6383.41	7180	7134.4	0.11	0.41	0.3
Nicn1	18707.97	21655.01	23351.61	17928.87	20069.56	0.21	-0.06	-0.27
Nid2	11046.87	13468.04	12006.35	14499.44	12928.52	0.29	0.39	0.11
Nif3l1	5200.45	3860.1	3519.29	4487.81	4238.12	-0.43	-0.21	0.22
Nifk	4423.12	6503.32	7605.12	5606.33	4275.87	0.56	0.34	-0.21
Ninj1	14114.21	25651.26	27486.5	22913.65	17067.41	0.86	0.7	-0.16
Nip7	9650.75	15809.25	19360.27	10765.4	10247.34	0.71	0.16	-0.55
Nipa1	4636.16	3411.72	3732.9	3581.99	4064.38	-0.44	-0.37	0.07
Nipa2	4806.8	8289.91	8386.06	4743.45	5018.31	0.79	-0.02	-0.81
Nipal1	3502.05	3069.69	3000.94	3299.7	5154.91	-0.19	-0.09	0.1
Nipal2	3499.39	4510.05	5548.87	3328.75	3578.66	0.37	-0.07	-0.44
Nipal4	16250.96	26449.45	21545.6	10630.44	7176.55	0.7	-0.61	-1.32
Nipsnap1	5879.52	5034.63	5299.07	5948.66	6469.39	-0.22	0.02	0.24
Nipsnap3b	2890.45	4704.63	6921.83	4422.65	3841.71	0.7	0.61	-0.09
Nit1	16511.95	22304.44	26672.87	15518.51	16068.46	0.43	-0.09	-0.52
Nit2	7061.19	8337.88	10221.94	6730.61	5434.65	0.24	-0.07	-0.31
Nkain4	27614.06	19993.67	23816.23	26854.05	21417.06	-0.47	-0.04	0.43
Nkap	6950.45	8366.47	10163.33	6281.9	7556.12	0.27	-0.15	-0.41
Nkd1	5171.87	4744.77	3894.42	8315.45	1697.64	-0.12	0.69	0.81
Nkd2	23768.37	10031.44	10141.91	15746.93	8803.01	-1.24	-0.59	0.65
Nkiras1	4225.85	8999.36	10008.94	5383.44	3778.04	1.09	0.35	-0.74
Nkiras2	2305.79	3076.08	3846.43	3061.36	3177.58	0.42	0.41	-0.01
Nle1	11478.45	14929.26	17588.69	12969.71	12759.93	0.38	0.18	-0.2
Nlgn2	6773.42	10775.6	11310.8	9628.59	6378.61	0.67	0.51	-0.16
Nlk	5326.33	6127.42	6132.04	4615.28	5740.83	0.2	-0.21	-0.41
Nln	3931.92	6396.17	7758.96	4181.26	3479.15	0.7	0.09	-0.61
Nlrp3	37195	6811.97	6807.52	28730.37	12414.38	-2.45	-0.37	2.08
Nlrx1	13082.1	20235.87	20416.82	13922.76	11825.27	0.63	0.09	-0.54
Nmd3	3658.79	5987.01	6491.13	2550.97	2620.73	0.71	-0.52	-1.23
Nme1	40525.02	39354.79	35298.64	36193.6	53270.62	-0.04	-0.16	-0.12
Nme2	42287.36	45616.94	43092.39	37951.27	53159.43	0.11	-0.16	-0.27
Nme3	10110.75	12837.69	12425.42	12664.9	10094.89	0.34	0.32	-0.02
Nme4	7040.34	12086.63	11996.87	12680.99	7661.73	0.78	0.85	0.07
Nme6	4542.21	4921.32	5542.56	3879.79	5539.67	0.12	-0.23	-0.34
Nme7	5938.69	6383.5	6791.14	6068.13	5716.18	0.1	0.03	-0.07
Nmi	19161.99	22099.68	20161.8	17420.94	20461.6	0.21	-0.14	-0.34
Nmnat1	7137.72	11272.77	12431.24	9064.29	6960.8	0.66	0.34	-0.31
Nmnat3	1228.93	1535.26	1783.68	1355	1122.96	0.32	0.14	-0.18
Nmral1	3432.45	3968.53	4183.26	3341.5	4832.97	0.21	-0.04	-0.25
Nmrk1	13333.85	16007.56	13171.82	13015.18	10237.47	0.26	-0.03	-0.3
Nmt1	54264.44	67248.12	76068.01	57449.19	58883.78	0.31	0.08	-0.23
Nmt2	9971.02	19426.92	22366.42	10758.72	13005.21	0.96	0.11	-0.85
Nmu	1247.41	2333.12	2171.06	1243.92	962	0.9	0	-0.91
Nnt	4453.46	3557.26	4087.15	3876.17	4165.41	-0.32	-0.2	0.12
Noa1	30203.38	31702.77	28311.7	27483.83	21494.12	0.07	-0.14	-0.21
Nob1	14682.1	20385.73	27348.01	24159.27	21077.83	0.47	0.72	0.25
Noc2l	8009.27	13826.56	14830.54	10124.2	6809.23	0.79	0.34	-0.45
Noc3l	11907.95	13906.32	17408.6	10079.21	10981.51	0.22	-0.24	-0.46
Noc4l	2107.47	5191.03	5822.62	1979.92	1534.62	1.3	-0.09	-1.39
Noct	22908.99	34205.51	41412.67	18529.91	18514.56	0.58	-0.31	-0.88
Nod1	21085.25	28371.92	32378.25	21469.47	31414.23	0.43	0.03	-0.4
Nol10	3035.09	3613.3	3161.05	1706.96	2849	0.25	-0.83	-1.08
Nol12	22260.58	41232.2	42538.2	35438.38	27967.14	0.89	0.67	-0.22
Nol3	6969.14	9970.17	9826.45	10911.78	7729.11	0.52	0.65	0.13
Nolc1	21460.92	24212.88	27593.67	25614.72	19997.72	0.17	0.26	0.08
Nomo1	1947.05	3079.19	3392.95	2033.65	1131.33	0.66	0.06	-0.6
Nono	2687.55	3598.75	3566.03	2546.75	2471.32	0.42	-0.08	-0.5
Nop10	5851.61	11100.9	13273.74	6254.71	11035.06	0.92	0.1	-0.83
Nop14	5846.13	7991.68	7105.2	6422.29	3927.36	0.45	0.14	-0.32
Nop16	5400.33	8389.38	8515.04	6243.91	4426.39	0.64	0.21	-0.43
Nop2	23335.68	34546.96	33884.87	27824.69	20922.73	0.57	0.25	-0.31
Nop56	4242.27	8532.93	9243.21	3843.29	3724.9	1.01	-0.14	-1.15
Nop58	7409.93	7832.18	8508.1	5413.5	5397.18	0.08	-0.45	-0.53
Nop9	27561.41	47807.59	55006.13	34335.66	37982.4	0.79	0.32	-0.48
Nosip	19665.1	22854.95	23610.45	20228.97	16409.99	0.22	0.04	-0.18
Notch1	19914.52	33292.2	37581.68	31968.42	30473.02	0.74	0.68	-0.06
Notch2	37232.1	43205.29	47297.5	43600.48	36394.79	0.21	0.23	0.01
Notch3	17648.27	19580.6	22257.7	18773.16	20032.03	0.15	0.09	-0.06
Nov	17275.32	11593.24	13686.13	9975.68	13133.57	-0.58	-0.79	-0.22
Nox1	10054.16	7632.31	7423.94	8076.3	17847.32	-0.4	-0.32	0.08
Nox4	17174.33	5479.92	5086.21	8428.62	9396.53	-1.65	-1.03	0.62
Noxa1	636.04	1013.2	1210.02	899.18	454.33	0.67	0.5	-0.17
Npap60	6049.21	8433.94	7821.51	5544.57	6079.41	0.48	-0.13	-0.61
Npas2	2370.89	13369.11	15186.81	4668.15	5551.61	2.5	0.98	-1.52
Npat	4445.08	4528.45	4424.44	3607.35	3110.94	0.03	-0.3	-0.33
Npc1	15774.44	13406.05	15995.53	15451.59	14324.44	-0.23	-0.03	0.2
Npc2	5307.66	8564.02	10586.76	6421.91	8278.72	0.69	0.27	-0.42
Npdc1	14586.14	23137.08	25388.42	24294.39	15057.54	0.67	0.74	0.07
Npepl1	5039.02	9175.54	13381.85	7219.51	6142.31	0.86	0.52	-0.35
Npepps	18413.24	21086.95	28615.45	23221.7	29304.64	0.2	0.33	0.14
Nphp1	9156.7	10087.64	12034.3	8783.93	8946.98	0.14	-0.06	-0.2
Nphp3	3700.07	5060.05	4899.62	4922.54	3229.15	0.45	0.41	-0.04
Nphp4	4692.35	7945.11	8859.77	6385.54	4191.55	0.76	0.44	-0.32
Npl	4206.08	14800.56	11461.03	4357.49	4909.24	1.82	0.05	-1.76
Nploc4	5798.98	6914.42	7119.92	7254.06	5578.49	0.25	0.32	0.07
Npm1	5628.54	9180.81	11726.23	5173.93	5161.19	0.71	-0.12	-0.83
Npr1	14687.33	17373.76	18994.92	14995.94	13598.39	0.24	0.03	-0.21
Npr2	7216.14	7811.44	7951.61	7685.64	4519.32	0.11	0.09	-0.02
Npr3	29115.81	8705.7	12435.13	14389.32	10013.9	-1.74	-1.02	0.72
Nprl2	15700.37	26781.23	27773.53	21366.78	15062.91	0.77	0.44	-0.33
Nprl3	7219.14	8325.71	7554.49	7838.22	6902.32	0.21	0.12	-0.09
Nptn	10281.53	21154.25	24249.06	13328.41	20544.53	1.04	0.37	-0.67
Nptx1	9551.39	12433.56	14517.94	14377.24	10521.21	0.38	0.59	0.21
Nptxr	20513.95	44927.51	47286.65	31612.1	27316.32	1.13	0.62	-0.51
Npw	20962.29	26119.69	34500.97	23718.79	16892.9	0.32	0.18	-0.14
Nqo1	9733.98	12931.61	16522.21	11835.13	12425.47	0.41	0.28	-0.13
Nqo2	2630.71	3263.67	4968.73	2622.17	3760.34	0.31	0	-0.32
Nr0b2	25464.91	39148.19	46219.57	18102.32	10794.08	0.62	-0.49	-1.11
Nr1d1	60708.27	72926.89	76639.84	62778.05	55676.3	0.26	0.05	-0.22
Nr1d2	6921.17	7553.28	6464.58	7473.75	7768.79	0.13	0.11	-0.02
Nr1h2	4606.7	6746.71	8734.19	7441.5	5674.4	0.55	0.69	0.14
Nr1h3	975.46	884.46	1032.23	1187.17	1082.29	-0.14	0.28	0.42
Nr2c1	4537.03	6969.86	8988.45	5057.99	4868.37	0.62	0.16	-0.46
Nr2c2ap	7645.06	16964.93	17836.15	12130.09	8606.09	1.15	0.67	-0.48
Nr2f1	12347.93	17833.81	23566.21	15304.85	21859.53	0.53	0.31	-0.22
Nr2f2	21759.81	26218.57	29080.45	25442.81	26079.94	0.27	0.23	-0.04
Nr2f6	21458.93	29686.91	35063.99	27689.45	21162.77	0.47	0.37	-0.1
Nr3c1	11772.42	19754.52	32608.91	14392.06	17534.84	0.75	0.29	-0.46
Nr3c2	3506.01	6152.8	7714.22	4983.4	4889.51	0.81	0.51	-0.3
Nr4a1	21452.25	36252.25	44463.37	29506.09	25874.95	0.76	0.46	-0.3
Nr4a2	8831.02	15417.44	16791.13	9956.91	8030.52	0.8	0.17	-0.63
Nr4a3	7564.26	15335.51	19723.3	7602.84	6773.5	1.02	0.01	-1.01
Nradd	9112.04	7005.95	6838.58	15239.45	11593.23	-0.38	0.74	1.12
Nrarp	21640.39	35951.09	37172.29	28910.66	21777.66	0.73	0.42	-0.31
Nras	10499.37	16743.29	20905.57	11608.84	12705.58	0.67	0.14	-0.53
Nrbf2	6376.78	10952.88	10277.2	8580.71	8521.1	0.78	0.43	-0.35
Nrbp1	5817.37	7475.61	7201.61	5909.41	4192.06	0.36	0.02	-0.34
Nrbp2	11150.17	12095.41	10300.97	14610.79	7625.37	0.12	0.39	0.27
Nrd1	5267.65	6853.02	6429.5	5337.99	4060.6	0.38	0.02	-0.36
Nrep	4343.17	4688.5	5548.88	4729.9	4851.99	0.11	0.12	0.01
Nrf1	13987.06	20168.7	22166.67	15345.26	14253.7	0.53	0.13	-0.39
Nrg1	7123.82	6866.86	9558.88	6322.76	7150.98	-0.05	-0.17	-0.12
Nrip1	4432.97	9220.79	12036.25	5773.59	7223.33	1.06	0.38	-0.68
Nrip3	1691.23	2375.52	2934.7	2392.77	2181.88	0.49	0.5	0.01
Nrm	36502.92	53410.88	57056.24	36618.3	39524.93	0.55	0	-0.54
Nrn1	7174.93	10682.1	14074.23	9570.46	7861.1	0.57	0.42	-0.16
Nrp1	9752.36	13689.97	20264.47	13054.48	18449.99	0.49	0.42	-0.07
Nrp2	24750.14	28263.09	29849.43	33305.05	32243.1	0.19	0.43	0.24
Ns5atp9	20770.63	14476.62	13771.29	16986.43	17408.7	-0.52	-0.29	0.23
Nsa2	3203.49	5208.38	6265.98	2757.89	2594.08	0.7	-0.22	-0.92
Nsd1	8404.88	10243.17	13782.88	9572.45	8693.16	0.29	0.19	-0.1
Nsdhl	2735.55	2680.9	2405.25	1886.01	1915.35	-0.03	-0.54	-0.51
Nsf	4662.97	5036.38	4219.72	4976.24	4223.47	0.11	0.09	-0.02
Nsfl1c	3425.36	11954.22	20106.4	4947.24	13302.43	1.8	0.53	-1.27
Nsg1	6210.28	8055.19	7227.01	13168.74	8359.07	0.38	1.08	0.71
Nsl1	7111.65	13041.58	12793.35	8101.25	7593.84	0.87	0.19	-0.69
Nsmaf	10384.4	17478.84	24070.6	17565.54	27542.83	0.75	0.76	0.01
Nsmce1	12491.8	10127.01	9487.15	14541	15880.67	-0.3	0.22	0.52
Nsmce2	23000.7	26367.81	30488.71	21496.77	35677.05	0.2	-0.1	-0.29
Nsmce4a	7229.17	8761.71	8514.57	6836.46	6499.89	0.28	-0.08	-0.36
Nsmf	2090.89	4507.38	5648.2	1987.58	1472.98	1.11	-0.07	-1.18
Nsrp1	7028.46	8606.45	9691.15	7503.91	16277.42	0.29	0.09	-0.2
Nsun2	3173.56	4861.19	6124.35	2797.37	2367.79	0.62	-0.18	-0.8
Nsun5	3523.83	4891.47	5266.28	3229.48	3478.75	0.47	-0.13	-0.6
Nsun6	2386.11	1805.92	1854.63	1823.54	2078.41	-0.4	-0.39	0.01
Nt5c	14533.61	13259	13082.99	20522.38	18790.08	-0.13	0.5	0.63
Nt5c3a	3350.57	3857.78	3841.53	2949.2	2965.1	0.2	-0.18	-0.39
Nt5c3b	10659.27	11238.25	12084.24	14718.6	18279.09	0.08	0.47	0.39
Nt5dc1	2887.01	3130.75	3516.34	2459.55	2625.55	0.12	-0.23	-0.35
Nt5dc2	8683.1	10684.38	12386.14	10300.61	8869.58	0.3	0.25	-0.05
Nt5dc3	13254.18	15631.17	16490.14	16565.42	12364.36	0.24	0.32	0.08
Nt5e	12580.03	14047.12	14700.12	17705.5	17253.61	0.16	0.49	0.33
Nt5m	5064.55	6192.1	7026.76	7149.88	5481.29	0.29	0.5	0.21
Ntan1	7733.54	9479.47	10618.91	10048.55	10487.6	0.29	0.38	0.08
Ntf4	10559.52	13252.34	11979.47	13790.94	9862.38	0.33	0.39	0.06
Nthl1	23339.03	28747.94	38615.63	26821.22	19216.9	0.3	0.2	-0.1
Ntmt1	36794.01	49444.47	49011.59	60595.54	46126.1	0.43	0.72	0.29
Ntn3	8099.15	21155.39	24582.35	11671.76	10880.35	1.39	0.53	-0.86
Ntn4	6395.97	7453.92	9592.24	6014.72	10707.05	0.22	-0.09	-0.31
Ntpcr	2923.87	4319.1	5050.59	4420.77	4034.98	0.56	0.6	0.03
Ntrk3	752.47	556.13	526.76	566	355.03	-0.44	-0.41	0.03
Nuak1	145144.79	129238.33	126756.65	136957.62	99576.53	-0.17	-0.08	0.08
Nuak2	70901.61	71486.59	75577.89	68111.09	43383.47	0.01	-0.06	-0.07
Nub1	2664.42	3209.47	4136.17	2329.99	2097.39	0.27	-0.19	-0.46
Nubp1	3780.1	4730.06	4122.48	4525.62	3849.84	0.32	0.26	-0.06
Nubp2	9754.81	14552.79	12299.77	12108.14	9336.13	0.58	0.31	-0.27
Nubpl	2311.95	3060.27	3253.77	1711.09	2605.22	0.4	-0.43	-0.84
Nucb1	19966.24	29944.74	32422.74	22129.37	20017.93	0.58	0.15	-0.44
Nucb2	31652.98	21774.59	21737.88	27412.47	26273.97	-0.54	-0.21	0.33
Nucks1	5578.77	6085.35	5658.14	5111.43	4182.29	0.13	-0.13	-0.25
Nudc	27305.13	42983.12	49883.61	18989.53	12130.3	0.65	-0.52	-1.18
Nudcd1	4709.51	6691.5	6682.5	4061.41	2757.85	0.51	-0.21	-0.72
Nudcd2	7629.01	7564.65	10450.49	7148.29	8419.81	-0.01	-0.09	-0.08
Nudt12	1026.03	975.41	1490.17	959.16	1015.48	-0.07	-0.1	-0.02
Nudt13	1565.93	2142.47	2334.28	1509.3	2219.32	0.45	-0.05	-0.51
Nudt14	11210.64	19286.67	22579.27	14962.65	11472.37	0.78	0.42	-0.37
Nudt16	1088.47	1724.33	2537.37	1155.11	922.86	0.66	0.09	-0.58
Nudt16l1	6694.43	8120.37	7979.3	12855.4	10493.7	0.28	0.94	0.66
Nudt18	4693.21	6117.32	7087.37	5300.2	3717.09	0.38	0.18	-0.21
Nudt19	2393.95	4556.57	6880.86	3515.52	2365.96	0.93	0.55	-0.37
Nudt2	2354.93	2815.71	2129.99	2057	1427	0.26	-0.2	-0.45
Nudt21	10965.58	17476.11	18526.37	15046.44	10038.91	0.67	0.46	-0.22
Nudt22	35357.1	51596.3	53360.67	44201.13	40715.11	0.55	0.32	-0.22
Nudt3	13295.72	26212.58	37308.55	18206.4	17392.22	0.98	0.45	-0.53
Nudt4	16439.25	10469.91	10626.09	13134.89	13398.11	-0.65	-0.32	0.33
Nudt5	7485.37	6523.45	6687.44	6886.43	6794.1	-0.2	-0.12	0.08
Nudt6	7925.57	14463.14	19498.09	6183.51	8125.49	0.87	-0.36	-1.23
Nudt7	1372.03	1809.47	2103.65	1959.51	1155.94	0.4	0.51	0.11
Nudt9	5124.79	8524.96	9185.44	5578.23	6341.62	0.73	0.12	-0.61
