NM_139336	Uxs1
NM_001107979	Fhl3
NM_001304613	Llgl1
NM_001135846	Rrn3
NM_053957	Apbb3
NM_053690	Dnajc14
NM_001191578	Phldb1
NM_001034137	Sp110
NM_053606	Mmp23
NM_024161	Dnajc5
NM_001106353	Erlin1
NM_001106391	Rpf2
NM_001127293	Zc3hc1
NM_001012074	Herc4
NM_001024332	Arl8b
NM_001014107	Mospd1
NM_001106330	Trmt112
NR_102352	LOC100910973
NM_001047886	Ilf2
NM_001107511	Ap2a1
NM_153628	Sec11c
NM_001106102	Higd2a
NM_001003673	Pmpca
NM_001271313	Arhgef40
NM_001007735	Sertad1
NM_001106455	Igsf3
NM_031037	Gnb2
NM_001163723	Smim1
NM_001107841	Rabgap1
NM_001107938	Polr1e
NM_001025715	Limd2
NM_001134628	S100pbp
NM_138871	Tdrd7
NM_001106836	Rnf111
NM_133620	Zhx1
NM_001003708	Trappc4
NM_001107399	Ammecr1l
NM_053812	Bak1
NM_053556	Bud31
NM_001103360	Pnrc2
NM_001107195	Olfml2b
NM_001025411	Dnaja4
NM_053628	Megf8
NM_001164305	Plec
NM_001024979	Gpatch4
NM_001107362	Wdr37
NM_001108437	Ccdc102a
NM_022204	Exoc5
NM_001195482	LOC690871
NM_001007607	Pigq
NM_022278	Glrx
NM_022250	Qtrt1
NM_001014045	Arl14ep
NM_001012747	Nol12
NM_012576	Nr3c1
NM_001013210	Fkbp14
NM_001108902	Rab32
NM_145775	Nr1d1
NM_001107819	Tmem203
NM_153296	Aurka
NM_001007680	Abhd6
NM_133561	Mpc1
NM_031589	Slc37a4
NM_001012470	Irf2bpl
NM_001013164	Ccbl1
NM_001017446	Ino80c
NM_031151	Mdh2
NM_001106584	Rpa3
NM_017150	Rpl29
NM_023098	Nup62
NM_001173558	Dcaf13
NM_001173376	Dusp3
NM_001039020	Zfp207
NM_001107527	Man2a2
NM_053747	Ubqln1
NM_001191798	Vprbp
NM_001100667	Mtx1
NM_001044226	Rita1
NM_001134698	Aldh4a1
NM_139255	Plbd2
NM_001025018	Dram2
NM_212531	Abhd16a
NM_001191985	Itpk1
NM_001106710	Emilin1
NM_013155	Vldlr
NM_001169120	Zfp91
NM_001271175	Setdb1
NM_001127532	Txndc11
NM_001108445	Anapc10
NM_001109562	Gpr137
NM_001108344	Ube2t
NM_022921	RT1-M3-1
NM_133406	Agpat4
NM_001106012	Evc2
NM_053539	Idi1
NM_001038992	Svbp
NM_001007754	Rassf1
NM_001106499	Vps18
NM_001195488	Coa5
NM_022696	Hand2
NM_001034135	Rbx1
NM_031126	Stxbp2
NM_001107528	Hddc3
NM_001007709	Mief1
NM_001007005	Arhgdia
NM_001191735	Elf4
NR_102353	Patz1
NM_031973	Dpp7
NM_001107031	Slfn2
NM_001134417	Rbbp8
NM_001012190	Ubap1
NM_001106683	Mfsd2a
NM_001113543	Wtap
NM_001173972	Itga8
NM_001008382	Cnot8
NM_181362	Cand2
NM_001108754	Mrpl4
NM_152861	Rbm10
NM_175755	Ppm1f
NM_080577	Nploc4
NM_001014116	Jmjd8
NM_001005893	Repin1
NM_001106095	Lig4
NM_031975	Ptms
NM_032062	Kalrn
NM_001107834	Pbx3
NM_020087	Notch3
NM_001012177	Mccc2
NM_001004248	Tmem30a
NM_001014120	Fkbp10
NM_001106422	Tnik
NM_019362	Stk39
NM_031021	Csnk2b
NM_001034829	Ubxn1
NM_001005908	Ghitm
NM_012551	Egr1
NM_001007146	Tob2
NM_001012090	Zc3h8
NM_001037193	Acd
NM_139340	Plekha5
NM_001033900	Ngrn
NM_001014762	Pdrg1
NM_173111	Tpm3
NM_001047897	Ormdl3
NM_053335	Ctbp2
NM_001271196	Usp34
NM_134351	Mat2a
NM_012678	Tpm4
NM_001100730	Nipsnap1
NM_001037770	Fbxo22
NM_001173370	Tmem184b
NM_001025737	Smpdl3b
NM_001100658	Hspa9
NM_022390	Qdpr
NM_001135008	Pabpn1
NM_001100502	Gbe1
NM_031014	Atic
NM_001191827	Rhbdd2
NM_001013068	Mrpl46
NM_053592	Dut
NM_012876	Rps29
NM_001024305	Prpf38b
NM_080900	Afap1
NM_001270688	Fxyd5
NR_102351	LOC100910973
NM_001105939	Naca
NM_145096	Zdhhc2
NM_001135012	Usp4
NM_017181	Fah
NM_030830	Luzp1
NM_001024261	Trnt1
NM_001134955	Elmo2
NM_001127483	Dis3
NM_001106295	Tufm
NM_001109021	Bcl7b
NM_001034136	Mrpl2
NM_001013103	Cdc34
NM_001039207	Narf
NM_001025714	Bloc1s6
NM_001035221	Ypel5
NM_001135742	Irgq
NM_053435	Xrcc1
NM_001191780	Scyl2
NM_001271264	Ankrd27
NM_133320	Ndel1
NM_001025701	Rad21
NM_001105713	Prkca
NM_134407	Akr7a2
NM_017105	Bmp3
NM_022867	Map1lc3b
